id;company_id;name;name_en;description;code;create_time;status;attribute;attribute1;attribute2;attribute3;attribute4;attribute5;bank_type;full_name;city;full_name_en;pinyin;pinyin_full;city_name;crm_id;modify_time;dup_id;qb_id	
ff89036f8e7446e78ca7798ae623c5da;5;一创证券北京;yczqbj;一创证券北京;YCZQBJ;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;一创证券北京;99;\N;yczxbj_yczqbj;yichuangzhengquanbeijing_yichuangzhengxuanbeijing;其他;1550;2017-03-29 14:18:28;\N;\N	
ff80818164cb8f560164dabe9eac1e60;5;峨边彝族联社;\N;\N;EBYZ;2018-08-02 15:45:11;1;其他银行机构;\N;;\N;0;\N;\N;其他其他其他fdds;99;\N;ebyzls;ebianyizulianshe;其他;2865;2018-08-02 15:45:11;\N;\N	
ff8081814e84e98b014f6dc1defe7632;5;国都资管;gdzg;国都资管;国都资管;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;国都资管;99;\N;gdzg;guodouziguan_guoduziguan;其他;1287;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f8198dd8c1a4e;5;方正证券;fzzq;方正证券;方正证券;2017-03-29 14:18:28;1;其他银行机构;方正证券;;F000003;0;\N;\N;方正证券;99;\N;fzzx_fzzq;fangzhengzhengquan_fangzhengzhengxuan;其他;1288;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f829938de2910;5;尊富资本;zfzb;尊富资本;尊富资本;2017-03-29 14:18:28;1;其他银行机构;;;\N;0;\N;\N;尊富资本;99;;zfzb;zunfuziben;其他;1289;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f6d25f705706c;5;民生人寿资管;MSRSZG;民生人寿资管;MSRSZG;2018-01-30 11:33:03;1;其他银行机构;\N;;\N;0;\N;\N;交通银行股份有限公司其他其他;99;MSRSZG;msrszg;minshengrenshouziguan;其他;1286;2018-01-30 11:33:03;\N;\N	
ff8081814e84e98b014f63f548314854;5;圣泰合行;sthh;圣泰合行;圣泰合行;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;圣泰合行;99;\N;stgx_sthx_stgh_sthh;shengtaiheheng_shengtaigeheng_shengtaihexing_shengtaigexing_shengtaihehang_shengtaigehang;其他;1285;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f637357494044;5;上海人寿;shrs;上海人寿;SHRS;2019-01-07 10:56:50;1;其他银行机构;上海人寿;;S000774;0;\N;\N;江西赣昌农村商业银行股份有限公司其他其他;99;\N;shrs;shanghairenshou;其他;1284;2019-01-07 10:56:50;\N;\N	
ff8081814e84e98b014f5e618dd865f6;5;工行澳门;gham;工行澳门;GHAM;2017-10-25 14:53:41;1;政策性银行;\N;;\N;0;\N;\N;Alphadyne Asset Management总行/总公司/总部123123黑色玫瑰321;54321;\N;gham_gxam;gonghangaomen_gongxingaomen_gonghengaomen;\N;1282;2017-10-25 14:53:41;\N;\N	
ff8081814e84e98b014f6365a7613eda;5;渤海证券;bhzq;渤海证券;渤海证券;2017-03-29 14:18:28;1;其他银行机构;渤海证券;;B000090;0;\N;\N;渤海证券;99;\N;bhzq_bhzx;bohaizhengquan_bohaizhengxuan;其他;1283;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f5dd94d8f6154;5;醴陵农商行;llnsh;醴陵农商行;醴陵农商行;2017-03-29 14:18:28;1;其他银行机构;醴陵农商行;;H000606;0;\N;\N;醴陵农商行;99;\N;llnsx_llnsh;lilingnongshanghang_lilingnongshangheng_lilingnongshangxing;其他;1281;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f4e27a4510932;5;BNP Paribas (China) Ltd;BNP Paribas (China) Ltd;BNP Paribas (China) Ltd;BNP Paribas (China) Ltd;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;BNP Paribas (China) Ltd;99;\N;BNPParibas(China)Ltd;BNPParibas(China)Ltd;其他;1279;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f5d661bec5704;5;华创证券资管;hczqzg;华创证券资管;华创证券资管;2017-09-08 17:18:35;1;其他银行机构;\N;;\N;0;\N;\N;其他其他库尔勒;11;\N;hczqzg_hczxzg;huachuangzhengxuanziguan_huachuangzhengquanziguan;库尔勒;1280;2017-09-08 17:18:35;\N;\N	
ff8081814e84e98b014f49f37ca93e81;5;南部县农村信用联社;nbxncxyls;南部县农村信用联社;NBXNCXYLS;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;南部县农村信用联社;99;\N;nbxncxyls_nbxncsyls;nabuxiannongcunshenyonglianshe_nanbuxiannongcunshenyonglianshe_nanbuxiannongcunxinyonglianshe_nabuxiannongcunxinyonglianshe;其他;1278;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f49f2a78d3e6f;5;双阳农商行;synsh;双阳农商行;双阳农商行;2017-03-29 14:18:28;1;其他银行机构;双阳农商行;;J000652;0;\N;\N;双阳农商行;99;\N;synsh_synsx;shuangyangnongshangheng_shuangyangnongshangxing_shuangyangnongshanghang;其他;1277;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f44c540ed6a74;5;杭州联社;hzls;杭州联社;HZLS;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;杭州联社;99;\N;hzls;hangzhoulianshe;其他;1275;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f48a249842800;5;淳杨资本 ;cyzb;淳杨资本 ;淳杨资本 ;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;淳杨资本 ;99;\N;cyzb;chunyangziben;其他;1276;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f44b55137697a;5;银河债投;YHZT;银河债投;银河债投;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;银河债投;99;\N;yhzt;yinhezhaitou;其他;1274;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f43f1edd05dd6;5;许丹婷;xdt;许丹婷;ADT;2017-03-29 14:18:28;1;其他银行机构;\N;;\N;0;\N;\N;许丹婷;99;\N;xdt;xudanting;其他;1272;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f44516ff16162;5;肥城农商行;FCNSH;肥城农商行;FCNSH;2017-03-29 14:18:28;1;其他银行机构;肥城农商行;;S000981;0;\N;\N;肥城农商行;99;FCNSH;fcnsh_fcnsx;feichengnongshanghang_feichengnongshangheng_feichengnongshangxing;其他;1273;2017-03-29 14:18:28;\N;\N	
ff8081814e84e98b014f43a7a7c6558d;5;长春发展;zcfz;长春发展农商行;长发展农商;2019-05-09 13:13:49;1;其他银行机构;长春发展农商行;;C000161;0;\N;\N;长春发展农村商业银行股份有限公司其他其他;99;\N;zcfz_ccfz;changchunfazhan_zhangchunfazhan;其他;1271;2019-05-09 13:13:49;\N;\N	
ff8081814e84e98b014f3ee526b20a41;5;昆山农商行;ksnsh;昆山农商行;KSNSH;2017-03-29 14:18:28;1;其他银行机构;昆山农商行;;J000448;0;\N;\N;昆山农商行;ks;\N;ksnsh_ksnsx;kunshannongshanghang_kunshannongshangheng_kunshannongshangxing;昆山;1270;2017-03-29 14:18:28;\N;\N	
